Signature	Samples
WGDearly_LST_ecDNA	92L4ID
WGDearly_LST_ecDNA	LSV31I
WGDearly_LST_ecDNA	83OKRW
WGDearly_LST_ecDNA	4VMWJF
WGDearly_LST_ecDNA	OMAA4O
WGDearly_LST_ecDNA	U93942
WGDearly_LST_ecDNA	US1TBW
WGDearly_LST_ecDNA	0Y83ZZ
WGDearly_LST_ecDNA	0K0K6I
WGDearly_LST_ecDNA	GI997S
WGDearly_LST_ecDNA	SWXUIP
WGDearly_LST_ecDNA	P2B6AX
WGDearly_LST_ecDNA	60WVKM
WGDearly_LST_ecDNA	SQKKTN
WGDearly_LST_ecDNA	H1V34Z
WGDearly_ecDNA_LST	M8HUZM
WGDearly_ecDNA_LST	U0AMQO
WGDearly_ecDNA_LST	FT87FV
WGDearly_ecDNA_LST	T37H7L
WGDearly_ecDNA_LST	RZ1VOE
WGDearly_ecDNA_LST	BTBJVV
WGDearly_ecDNA_LST	IM2TB5
WGDearly_ecDNA_LST	J3Z8K7
WGDearly_ecDNA_LST	DILSUL
WGDearly_ecDNA_LST	8QWJS5
WGDearly_ecDNA_LST	77E4B9
WGDearly_ecDNA_LST	Y8228L
WGDearly_ecDNA_LST	LT1OSR
WGDearly_ecDNA_LST	KRVWH8
WGDearly_ecDNA_LST	WEOX0R
WGDearly_ecDNA_LST	RTSV89
WGDearly_ecDNA_Chr	O8G8VB
WGDearly_ecDNA_Chr	D63LZW
WGDearly_ecDNA_Chr	8ST3A8
WGDearly_ecDNA_Chr	HPOG2A
WGDearly_ecDNA_Chr	5WIAQV
WGDearly_ecDNA_Chr	QZH1C0
WGDearly_ecDNA_Chr	JCZR3B
WGDearly_ecDNA_Chr	YDO6DA
WGDearly_ecDNA_Chr	3PUS8R
WGDearly_ecDNA_Chr	JOZUYQ
WGDearly_ecDNA_Chr	ZPEVLM
WGDearly_ecDNA_Chr	GBGFGL
WGDearly_ecDNA_Chr	I83O6B
WGDearly_ecDNA_Chr	4W2093
WGDearly_ecDNA_Chr	8RQI7O
WGDearly_ecDNA_Chr	PCIW0J
WGDearly_Chr_ecDNA	DKZLLW
WGDearly_Chr_ecDNA	JWX1J8
WGDearly_Chr_ecDNA	O3GQ7V
WGDearly_Chr_ecDNA	SDQFKX
WGDearly_Chr_ecDNA	1XGK99
WGDearly_Chr_ecDNA	QBKVM2
WGDearly_Chr_ecDNA	KWVCGB
WGDearly_Chr_ecDNA	ASQG2I
WGDearly_Chr_ecDNA	FQFXOJ
WGDearly_Chr_ecDNA	UQ04HI
WGDearly_Chr_ecDNA	VARI5R
WGDearly_Chr_ecDNA	GMYO24
WGDearly_Chr_ecDNA	FAZ1W2
WGDearly_Chr_ecDNA	65HW3T
WGDearly_Chr_ecDNA	J06M0X
WGDearly_Chr_ecDNA	OI76XA
WGDearly_LST_Chr	5YGREJ
WGDearly_LST_Chr	NGFID9
WGDearly_LST_Chr	DHTI8K
WGDearly_LST_Chr	6R2L4K
WGDearly_LST_Chr	EUBWM4
WGDearly_LST_Chr	PTM6UL
WGDearly_LST_Chr	82IOF9
WGDearly_LST_Chr	XBO7JU
WGDearly_LST_Chr	8LDMB8
WGDearly_LST_Chr	74YE04
WGDearly_LST_Chr	QC5S5K
WGDearly_LST_Chr	PTI4QX
WGDearly_LST_Chr	5W69KE
WGDearly_LST_Chr	0O0FKV
WGDearly_LST_Chr	MOEPK8
WGDearly_LST_Chr	TO4U87
WGDearly_Chr_LST	ZSDB3H
WGDearly_Chr_LST	LFJZCR
WGDearly_Chr_LST	BQD5LG
WGDearly_Chr_LST	OGAO9B
WGDearly_Chr_LST	OFLSKR
WGDearly_Chr_LST	V8IVMP
WGDearly_Chr_LST	RGJDZI
WGDearly_Chr_LST	JP9ZTJ
WGDearly_Chr_LST	MGCSN6
WGDearly_Chr_LST	919YH2
WGDearly_Chr_LST	LOXN5C
WGDearly_Chr_LST	53W44O
WGDearly_Chr_LST	NLKCE1
WGDearly_Chr_LST	KCB6D5
WGDearly_Chr_LST	RR2OQ9
WGDearly_Chr_LST	GN7L9C
WGDlate_LST_ecDNA	TPY21K
WGDlate_LST_ecDNA	46M89C
WGDlate_LST_ecDNA	E9GUAF
WGDlate_LST_ecDNA	R9U6TF
WGDlate_ecDNA_LST	MRKGTX
WGDlate_ecDNA_LST	1GQP1N
WGDlate_ecDNA_LST	OW5CVQ
WGDlate_ecDNA_LST	46KM78
WGDlate_ecDNA_Chr	JGTA19
WGDlate_ecDNA_Chr	1LVWVN
WGDlate_ecDNA_Chr	ICFMQL
WGDlate_ecDNA_Chr	JVP549
WGDlate_Chr_ecDNA	RUA36W
WGDlate_Chr_ecDNA	NMIAFE
WGDlate_Chr_ecDNA	8TTEZK
WGDlate_Chr_ecDNA	V4XKCP
WGDlate_LST_Chr	TIHHZC
WGDlate_LST_Chr	LC8XJK
WGDlate_LST_Chr	7PJ0U8
WGDlate_LST_Chr	6R6OKA
WGDlate_Chr_LST	JZD4K9
WGDlate_Chr_LST	BXJ0Q2
WGDlate_Chr_LST	ECEBKN
WGDlate_Chr_LST	99G89B
